Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0.43,-0.08508775,0.06199599,-0.219722,0.02813266,-0.4745335,0.03458472
0.4333333,-0.08283236,0.06800725,-0.213118,0.02717603,-0.470193,0.03192053
0.4366667,-0.08067996,0.07171823,-0.2091081,0.02592184,-0.4658564,0.02915334
0.44,-0.07722675,0.07283141,-0.2050027,0.02546875,-0.4599214,0.02788914
0.4433334,-0.07297627,0.07403995,-0.2002947,0.02501184,-0.4553826,0.0282233
0.4466667,-0.06912252,0.07635095,-0.1952891,0.02395602,-0.4502449,0.02806155
0.45,-0.06637121,0.07856276,-0.1889827,0.02350292,-0.4456069,0.02769381
0.4533333,-0.06511527,0.08157565,-0.1824741,0.02434682,-0.4415716,0.0272307
0.4566667,-0.06196342,0.08608773,-0.1756679,0.02369154,-0.4378339,0.02636704
0.46,-0.05891075,0.08949736,-0.1694607,0.02153709,-0.4323948,0.0259993
0.4633333,-0.0556559,0.0915108,-0.1645543,0.019684,-0.4259563,0.02703537
0.4666667,-0.05070351,0.09192207,-0.1612462,0.018529,-0.4191211,0.03017333
0.47,-0.04565195,0.09323362,-0.1586401,0.01797291,-0.4132814,0.03420775
0.4733334,-0.03989847,0.09514407,-0.1540312,0.01932034,-0.4079454,0.0373419
0.4766667,-0.03544581,0.09855751,-0.1490256,0.02046561,-0.404509,0.04057904
0.48,-0.03169124,0.1015666,-0.14402,0.02180923,-0.4027702,0.04271374
0.4833333,-0.02853939,0.1053806,-0.1391098,0.02025369,-0.3995322,0.04464626
0.4866667,-0.02198865,0.1068905,-0.1364045,0.01880114,-0.3954969,0.0471815
0.49,-0.01473218,0.1067028,-0.1329972,0.01714641,-0.3913587,0.05072001
0.4933333,-0.008280621,0.1069158,-0.1278924,0.0167925,-0.387621,0.05475442
0.4966667,-0.002328784,0.1080251,-0.1227838,0.01683531,-0.386584,0.05769021
0.5,0.003424689,0.1098364,-0.1170763,0.01798057,-0.3863444,0.06062599
0.5033333,0.00717926,0.1137496,-0.1104686,0.01852693,-0.3862077,0.06295905
0.5066667,0.01073165,0.1179603,-0.1051616,0.019573,-0.3881692,0.06419349
0.51,0.01558486,0.1198707,-0.1012546,0.02031772,-0.3879333,0.06453146
0.5133333,0.02163588,0.1200836,-0.09914821,0.02216107,-0.3873962,0.06656697
0.5166667,0.0263899,0.1200944,-0.09754151,0.02310797,-0.3865576,0.06899922
0.52,0.03184201,0.1199067,-0.09603398,0.02405487,-0.3865201,0.07103474
0.5233334,0.03559658,0.1215196,-0.09392755,0.02660012,-0.3864827,0.07226916
0.5266667,0.03884761,0.1232317,-0.09092086,0.02884402,-0.3869449,0.07200442
0.53,0.04240001,0.1246424,-0.08781498,0.02898983,-0.3879069,0.07104158
0.5333334,0.04585322,0.1267513,-0.08570855,0.02813619,-0.3862711,0.06887712
0.5366667,0.05010751,0.1271663,-0.08409803,0.02748091,-0.3841318,0.06711319
0.54,0.05515908,0.1271771,-0.08469241,0.02762672,-0.3819962,0.06694763
0.5433334,0.06111474,0.1271878,-0.0844857,0.02927171,-0.3798568,0.06738097
0.5466667,0.06646767,0.1277974,-0.08417981,0.03141642,-0.3772216,0.06891676
0.55,0.07111869,0.1276098,-0.08247011,0.03396167,-0.3765852,0.06925474
0.5533333,0.07347327,0.1277235,-0.08046668,0.03410748,-0.3757466,0.06948972
0.5566667,0.07572485,0.1283332,-0.07815807,0.03335303,-0.375507,0.06892361
0.56,0.07897969,0.1272453,-0.0770511,0.03059585,-0.3730701,0.06685832
0.5633333,0.0837299,0.1251579,-0.07624548,0.03034112,-0.3693324,0.06749385
0.5666667,0.08868229,0.1236695,-0.07623713,0.0293883,-0.3665979,0.06902964
0.57,0.09413821,0.1216813,-0.07603043,0.02983165,-0.3643594,0.07096597
0.5733333,0.09778979,0.1208909,-0.07432454,0.03027882,-0.3626206,0.07229958
0.5766667,0.09974382,0.1202036,-0.07161539,0.03202299,-0.363182,0.07373619
0.58,0.1013965,0.1193141,-0.06830733,0.03296989,-0.3643462,0.07236899
0.5833334,0.1023473,0.1177264,-0.06700198,0.03371461,-0.3631071,0.07190589
0.5866667,0.1031035,0.1157383,-0.06609337,0.03405878,-0.3602696,0.07283895
0.59,0.1044548,0.1118504,-0.06678693,0.03460514,-0.3588322,0.07587773
0.5933334,0.1054094,0.1095608,-0.06648104,0.03724957,-0.3573947,0.07901189
0.5966667,0.106261,0.1089727,-0.0651757,0.04139319,-0.3566591,0.08094822
